Song Name,Artist Name
Call You Mine,The Chainsmokers
I'm not angry anymore - Slowed+Reverb,spud
Piano Man,Billy Joel
Always,Isak Danielson
Cinnamon Girl,Lana Del Rey
brokenhearted - sunset,joan
Isabelle,Zach Hood
Love Like This,Ben Rector
Better Days,OneRepublic
Don't Go Breaking My Heart,Elton John
London,Mokita
All Time Low,Jon Bellion
Are You Bored Yet? (feat. Clairo),Wallows
Get You The Moon (feat. Snøw),Kina
Wait For You (feat. Maia Wright),Mike Williams
So Move Along,Rupert Pope
Ribs,Lorde
Are You With Me,nilu
Look After You,The Fray
If By Chance,Ruth B.
Us,James Bay
What Did I Do?,Hayd
"December 25, 2021: Webb Space Telescope - Launch",Sleeping At Last
like my father,Jax
"The Nearer The Fountain, More Pure The Stream Flows",Damon Albarn
Better Now,Oh Wonder
see you later (ten years),Jenna Raine
I Get to Love You,Ruelle
Helena,My Chemical Romance
Famous Last Words,My Chemical Romance
Soldier's Eyes,Jack Savoretti
Sword from the Stone,Passenger
Have We Met Before?,Tom Rosenthal
"Still Falling For You - From ""Bridget Jones's Baby""",Ellie Goulding
Lights Are On,Tom Rosenthal
Fix You,Coldplay
Heat Waves Slowed Reverb,Farizki
Neptune,Bryce Dessner
stay4ever (feat. Mounika.),Powfu
Looks Like Me - Piano Acoustic,Dean Lewis
I GUESS I'M IN LOVE,Clinton Kane
XO,EDEN
Need You Now,Lady A
Haunt You (feat. chloe moriondo),X Lovers
State Lines,Novo Amor
The Way I Love You,yaeow
Cancer,My Chemical Romance
When You Love Someone,James TW
Just to Be With You,Prateek Kuhad
Exitlude,The Killers
Kyoto,Phoebe Bridgers
Heat Waves,Glass Animals
In Your Arms (with X Ambassadors),ILLENIUM
If You Lie Down With Me,Lana Del Rey
Nectar Of The Gods,Lana Del Rey
Violets for Roses,Lana Del Rey
Το Καλύτερο Πεθαίνει Πρώτο,Τα Παιδιά Της Παλαιότητας
were you ever with me?,flora cash
"Holy, Holy, Holy",Sufjan Stevens
The Friendly Beasts,Sufjan Stevens
Death Bed - Slowed,Khlaw
I Don't Want You Back,AJ Mitchell
All My Friends,AJ Mitchell
Parachute,Paul Kalkbrenner
People Watching,Conan Gray
To Begin Again,Ingrid Michaelson
Fly Me to the Moon,The Macarons Project
Love Is Gone - Acoustic,SLANDER
Older,Alec Benjamin
Time in a Bottle,Jim Croce
Conversations in the Dark,John Legend
BRIGHTSIDE,The Lumineers
Hey There Delilah,Plain White T's
Arcadia,Lana Del Rey
Born With It,Ossorgni
Cloud 9,Paravi
Mad World,Michael Andrews
I'll Wait,Kygo
"Ob-La-Di, Ob-La-Da",Gabriela Bee
The Moon Song,beabadoobee
Even If It's a Lie - Demo,Matt Maltese
Ocean,Anuv Jain
Let Me Love You,DJ Snake
All Too Well,Taylor Swift
I Know The End,Phoebe Bridgers
Dust in the Wind,Kansas
Friday I’m In Love - Recorded at Spotify Studios NYC,Phoebe Bridgers
Kya Tum Naraaz Ho? (Raw),Tanmaya Bhatnagar
The 90s,FINNEAS
wish i loved you in the 90s,Tate McRae
Lookalike,Conan Gray
Go Your Own Way - 2004 Remaster,Fleetwood Mac
My Heart Is Buried in Venice,Ricky Montgomery
Five Hundred Miles - Mono; 1999 Remaster,Peter And Gordon
Don't Give Up On Me,Andy Grammer
Losing You,Bleeding Fingers
If the World Was Ending (feat. Julia Michaels),JP Saxe
Venice Bitch,Lana Del Rey
Never Felt A Love Like This (with Hook N Sling) [feat. Dotan],Galantis
The Adults Are Talking,The Strokes
papercuts,mgk
Soul Mate,flora cash
American Pie,Don McLean
when was it over? (feat. Sam Hunt),Sasha Alex Sloan
Tell Me That You Love Me,James Smith
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift
Fine Line,Harry Styles
A Concert Six Months From Now,FINNEAS
Preet,Jasleen Royal
Slow Dancing in a Burning Room,John Mayer
A Soulmate Who Wasn’t Meant to Be,Jess Benko
I'm Not Perfect,Jess Benko
Another Year,FINNEAS
Drawn to the Blood - Fingerpicking Remix,Sufjan Stevens
Young And Beautiful,Lana Del Rey
that's just how it goes,ROLE MODEL
Summer Fling,Nina Nesbitt
ilym (feat. ROSIE),John K
cowboy in LA,LANY
notice me (feat. BENEE),ROLE MODEL
No Sleep (feat. Bonn),Martin Garrix
Through The Years,Kenny Rogers
St. Augustine's Pears,Petra
Let Your Heart Hold Fast,Fort Atlantic
Chin Up (Tomorrow's a New Year),The Whiskey Wasps
Rewind,Goldspot
Dear August,PJ Harding
Welcome to the Black Parade,My Chemical Romance
Ah Holy Jesus,Sufjan Stevens
Ignite,Alan Walker
I Don't Wanna Go,Alan Walker
On My Way,Alan Walker
The Spectre,Alan Walker
Tired,Alan Walker
Lily,Alan Walker
Different World (feat. CORSAK),Alan Walker
Diamond Heart,Alan Walker
Changes,Hayd
Sleeping Child - 2014 Remaster,Michael Learns To Rock
Paint My Love - 2014 Remaster,Michael Learns To Rock
Paris Calling (Sweet Sensation),Griffin House
Wind of Change,Scorpions
Still Loving You,Scorpions
Love The Way You Lie - Part III (Original Demo),Skylar Grey
Annabelle's Homework,Alec Benjamin
Arms,The Paper Kites
Your New Boyfriend,Wilbur Soot
I hate all men but when he ...,dewolS Music
Holiday,KSI
Walked Through Hell - Acoustic,Anson Seabra
Here Comes the Sun,SYML
Bodybag,chloe moriondo
Pain,Nessa Barrett
Paradise,Coldplay
Chemtrails Over The Country Club,Lana Del Rey
Nightmare,UNDREAM
Is Anybody Goin' to San Antone,Charley Pride
Happy Together,The Turtles
Killer Queen,Queen
What If (I Told You I Like You),Johnny Orlando
City Life,Raghav Meattle
In Dreams (Lord of the Rings) - Live,Auckland Symphony Orchestra
Can't Remember to Forget You,Shakira
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira
Hips Don't Lie (feat. Wyclef Jean),Shakira
The One That Got Away - Acoustic,Katy Perry
Where's My Love,SYML
When We Feel Young,When Chai Met Toast
"It's Raining, It's Pouring",Anson Seabra
Without You (feat. Sandro Cavazza),Avicii
"Ilahi (From ""Yeh Jawaani Hai Deewani"")",Arijit Singh
Buddhu Sa Mann,Amaal Mallik
Text Book,Lana Del Rey
No Shade in the Shadow of The Cross,Sufjan Stevens
Already Gone,Sleeping At Last
Night Changes,One Direction
Heartbreak Anniversary,GIVĒON
"Two Ghosts - Recorded at Metropolis Studios, London",Harry Styles
Dandelions,Ruth B.
In The End,Black Veil Brides
My Immortal,Evanescence
Futile Devices,Sufjan Stevens
Shallow,Lady Gaga
Somebody Else,The 1975
Romulus,Sufjan Stevens
Saturday Sun,Vance Joy
Cigarette Daydreams,Cage The Elephant
You'll Ask for Me,Tyler Hilton
Better Than Love,Griffin House
Moral of the Story (feat. Niall Horan),Ashe
I'm Fine,Ashe
The Way You Felt,Alec Benjamin
Tiny Dancer,Elton John
Wildflowers - Recorded at Spotify Studios NYC,Miley Cyrus
Wildflowers,Tom Petty
"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion
Stranger,Blanks
Have We Met Before (with Eric Nam),Sarah Barrios
Your Song,Elton John
Your Power,Billie Eilish
Coastline,Hollow Coves
Be My Mistake,The 1975
Take It Off,Kesha
Just A Dream,Nelly
Somewhere in Ann Arbor,Anson Seabra
Hurricane,Anson Seabra
Happiest Year,Jaymes Young
Video Games,Lana Del Rey
Bel Air,Lana Del Rey
Can't Wait To Be Dead,FINNEAS
If You Love Her,Forest Blakk
What They'll Say About Us,FINNEAS
Till Forever Falls Apart,Ashe
Love The Way You Lie,Eminem
Getaway Car,Taylor Swift
Without You,Oh Wonder
Runaway,AURORA
Thinking Bout You,Ariana Grande
Clean,Taylor Swift
Just the Two of Us,Bill Withers
Pierre,Ryn Weaver
Off My Face,Justin Bieber
Check Yes Or No,George Strait
I Know The End,Phoebe Bridgers
Dreams - 2004 Remaster,Fleetwood Mac
Blackbird - Remastered 2009,The Beatles
Only Time,Enya
Knockin' On Heaven's Door,Bob Dylan
Chasing Cars,Snow Patrol
Sweet Caroline,Neil Diamond
Baarishein,Anuv Jain
All Good,Garrett Kato
Watermelon Sugar,Harry Styles
Please Never Fall in Love Again,Ollie MN
Always Home,Leucadia
Dream On (Boston Strong 2014),Steven Tyler
Lonely Star,Oh Wonder
Here Comes The Sun - Remastered,The Beatles
The End of the World,Skeeter Davis
Dixieland Delight,Alabama
Baby Blue,George Strait
All My Ex's Live In Texas,George Strait
Good Old Days (feat. Kesha),Macklemore
Arcade,Duncan Laurence
Take Me Home,Us The Duo
One Last Dance,Us The Duo
Through To You,Glades
Nervous Energy,Glades
we fell in love in october,girl in red
Chicago,Sufjan Stevens
Fourth of July,Sufjan Stevens
White Ferrari,Frank Ocean
Miss You,Louis Tomlinson
Sofia,Clairo
drivers license,Olivia Rodrigo
1950,King Princess
Remember That Night?,Sara Kays
Birds Dont Sing,TV Girl
if this is the last time,LANY
Somebody To You,The Vamps
Death with Dignity,Sufjan Stevens
champagne problems,Taylor Swift
willow,Taylor Swift
The Predatory Wasp of The Palisades Is Out To Get Us,Sufjan Stevens
Last Friday Night (T.G.I.F.),Katy Perry
Complicated,Olivia O'Brien
Kiss Me,Ed Sheeran
Make Out in My Car - Sufjan Stevens Version,Moses Sumney
Shotgun,George Ezra
Don't Wanna Know,Suriel Hess
invisible string,Taylor Swift
"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo
Good Life,OneRepublic
"Fire On Fire - From ""Watership Down""",Sam Smith
Mystery of Love,Sufjan Stevens
Budapest,George Ezra
Classic,MKTO
"For the Widows in Paradise, For the Fatherless in Ypsilanti",Sufjan Stevens
To Be Alone With You,Sufjan Stevens
Should Have Known Better,Sufjan Stevens
The Only Thing,Sufjan Stevens
Stuck on You - Acoustic,Callen
The Tale of Me and You,Matty Mac
Soap,Melanie Martinez
Tongue Tied,GROUPLOVE
Naughty List (with Dixie),Liam Payne
Indigo,Krishna.K
Knocking on Your Heart,Maggie Lindemann
Couple of Kids,Maggie Lindemann
The Best You Had,Nina Nesbitt
Shovels & Dirt,The Strumbellas
IDK You Yet,Alexander 23
jaded,sadeyes
The Hired Band,The Strumbellas
Whatever,Oasis
It Is What It Is,Lifehouse
Bad Things (with Camila Cabello),mgk
1955,Hilltop Hoods
Ohio,Radnor & Lee
title track,mgk
Wherever You Are,Kodaline
Enough to Believe,Bob Moses
On Hold,Ziggy Alberts
I Took A Pill In Ibiza,Mike Posner
Love Me Again,John Newman
Young & Sad,Noah Cyrus
Sometimes,Goldmund
I'll Never Find Another You,The Seekers
Ophelia,The Lumineers
She Always Takes It Black,Gregory Alan Isakov
Two,Sleeping At Last
Favourite Ex,Maisie Peters
Grow as We Go,Ben Platt
King And Lionheart,Of Monsters and Men
A Place We Knew,Dean Lewis
Chidiya,Vilen
These Days,Jackson Browne
And I Love You So,Don McLean
Wild Montana Skies,John Denver
Time,NF
I'm a Mess,Ed Sheeran
broken - acoustic,lovelytheband
Beautiful (feat. Camila Cabello),Bazzi
Stairway to Heaven - 1990 Remaster,Led Zeppelin
Lost My Mind,FINNEAS
Sunshine On My Shoulders,John Denver
Good Thing,Suriel Hess
If It Isn't You,NURKO
Revolution,The Score
July,Noah Cyrus
Heaven,FINNEAS
She,Jake Scott
Night Shift,Leif Bent
Malibu Nights,LANY
If I'm a Bird,juno roome
That's Us,Anson Seabra
Broken,Anson Seabra
Eastside (with Halsey & Khalid),benny blanco
Good Things Fall Apart (with Jon Bellion),ILLENIUM
Last Time,Anson Seabra
January Wedding,The Avett Brothers
Dancing In the Dark,Bruce Springsteen
Mirrors,Justin Timberlake
shut up,Greyson Chance
Once in a Lifetime,Landon Austin
Together,Us The Duo
Falling Like The Stars,James Arthur
comethru,Jeremy Zucker
Apocalypse,Cigarettes After Sex
2042,Brett Bigelow
10 Years in Spain,Brett Bigelow
Empire,Neoni
Maybe It's Time,Bradley Cooper
Truthfully,DNCE
Good Years,ZAYN
